,type,title,director,country,release_year,rating,listed_in,IMDB_Rating
2293,Movie,Taxi Driver,Daniel Oriahi,Nigeria,2015,TV-MA,"Comedies, Dramas, Independent Movies",8.3
2405,Movie,Pan's Labyrinth,Guillermo del Toro,Mexico,2006,R,"Dramas, International Movies, Sci-Fi & Fantasy",8.2
2442,Movie,Dil Chahta Hai,Farhan Akhtar,India,2001,TV-14,"Comedies, Dramas, International Movies",8.1
2459,Movie,Zindagi Na Milegi Dobara,Zoya Akhtar,India,2011,TV-14,"Comedies, Dramas, International Movies",8.1
2477,Movie,Marriage Story,Noah Baumbach,United Kingdom,2019,R,Dramas,7.9
2511,Movie,The Irishman,Martin Scorsese,United States,2019,R,Dramas,7.9
2540,Movie,Klaus,Sergio Pablos,Spain,2019,PG,"Children & Family Movies, Comedies",8.2
2572,Movie,Drive,Tarun Mansukhani,India,2019,TV-14,"Action & Adventure, International Movies",7.8
2782,Movie,Kahaani,Sujoy Ghosh,India,2012,TV-14,"International Movies, Music & Musicals, Thrillers",8.1
2889,Movie,About Time,Richard Curtis,United Kingdom,2013,R,"Comedies, Dramas, International Movies",7.8
2905,TV Show,Persona,"Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan",South Korea,2019,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas",8.1
3087,Movie,Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones",United Kingdom,1975,PG,"Action & Adventure, Classic Movies, Comedies",8.2
3115,TV Show,Watership Down,Noam Murro,United Kingdom,2018,TV-PG,"British TV Shows, International TV Shows, TV Action & Adventure",7.6
3129,Movie,Andhadhun,Sriram Raghavan,India,2018,TV-14,"Comedies, Dramas, International Movies",8.3
3134,Movie,The Theory of Everything,James Marsh,United Kingdom,2014,PG-13,"Dramas, Romantic Movies",7.7
3184,Movie,Sabrina,Rocky Soraya,Indonesia,2018,TV-MA,"Horror Movies, International Movies",7.7
3216,Movie,Barfi!,Anurag Basu,India,2012,TV-14,"Comedies, Dramas, International Movies",8.1
3243,Movie,Paan Singh Tomar,Tigmanshu Dhulia,India,2010,TV-14,"Action & Adventure, Dramas, International Movies",8.2
3313,Movie,Dev.D,Anurag Kashyap,India,2009,TV-MA,"Dramas, International Movies, Romantic Movies",8.0
3356,Movie,Udaan,Vikramaditya Motwane,India,2010,TV-MA,"Dramas, Independent Movies, International Movies",8.2
3378,Movie,PK,Rajkumar Hirani,India,2014,TV-14,"Comedies, Dramas, International Movies",8.1
3422,Movie,Haider,Vishal Bhardwaj,India,2014,TV-MA,"Dramas, International Movies, Romantic Movies",8.1
3425,Movie,Joker,Shirish Kunder,India,2012,TV-PG,"Comedies, International Movies, Music & Musicals",8.5
3430,Movie,Rang De Basanti,Rakeysh Omprakash Mehra,India,2006,TV-14,"Dramas, International Movies",8.2
3748,Movie,The Hateful Eight,Quentin Tarantino,United States,2015,R,"Action & Adventure, Thrillers",7.8
3828,Movie,Naked,Michael Tiddes,United States,2017,TV-14,"Comedies, Romantic Movies",7.8
